EventID,Time_UTC,Lat,Lon,Depth_km,MagType,Mag,Region
20260609_0000088,2026-06-09T04:39:48.0Z,5.53,125.52,28.0,m,3.3,MINDANAO, PHILIPPINES
20260609_0000099,2026-06-09T05:13:42.0Z,4.56,126.95,23.0,m,3.7,KEPULAUAN TALAUD, INDONESIA
20260609_0000109,2026-06-09T05:38:21.0Z,5.03,126.36,84.0,m,3.5,MINDANAO, PHILIPPINES
20260609_0000108,2026-06-09T05:40:51.0Z,5.57,125.63,10.0,m,3.9,MINDANAO, PHILIPPINES
20260609_0000111,2026-06-09T05:49:21.0Z,5.38,125.62,5.0,m,3.8,MINDANAO, PHILIPPINES
20260609_0000114,2026-06-09T06:01:19.0Z,5.6,125.31,10.0,m,3.9,MINDANAO, PHILIPPINES
20260609_0000120,2026-06-09T06:15:10.39Z,5.4489,125.2181,10.0,mb,5.2,MINDANAO, PHILIPPINES
20260609_0000125,2026-06-09T06:25:59.0Z,5.22,125.38,8.0,m,4.3,MINDANAO, PHILIPPINES
20260609_0000126,2026-06-09T06:36:24.0Z,5.13,125.18,10.0,m,4.0,MINDANAO, PHILIPPINES
20260609_0000135,2026-06-09T07:08:21.0Z,5.37,125.62,10.0,m,3.7,MINDANAO, PHILIPPINES
20260609_0000134,2026-06-09T07:10:01.0Z,3.94,125.95,13.0,m,3.5,KEPULAUAN SANGIHE, INDONESIA
20260609_0000144,2026-06-09T07:48:31.0Z,5.29,125.77,2.0,m,3.2,MINDANAO, PHILIPPINES
20260609_0000152,2026-06-09T08:09:12.0Z,5.59,125.89,10.0,m,4.1,MINDANAO, PHILIPPINES
20260609_0000166,2026-06-09T08:15:35.48Z,5.6263,125.5625,50.0,mb,4.9,MINDANAO, PHILIPPINES
20260609_0000164,2026-06-09T08:21:50.0Z,5.51,125.08,3.0,m,3.1,MINDANAO, PHILIPPINES
20260609_0000188,2026-06-09T09:15:46.0Z,5.65,125.41,1.0,m,3.4,MINDANAO, PHILIPPINES
20260609_0000181,2026-06-09T09:25:03.24Z,8.7503,125.7113,40.0,mb,5.1,MINDANAO, PHILIPPINES
20260609_0000182,2026-06-09T09:34:00.0Z,5.38,125.57,10.0,m,3.9,MINDANAO, PHILIPPINES
20260609_0000183,2026-06-09T09:37:57.0Z,5.53,125.63,10.0,m,3.8,MINDANAO, PHILIPPINES
20260609_0000185,2026-06-09T09:41:05.0Z,5.6,125.4,1.0,m,3.6,MINDANAO, PHILIPPINES
20260609_0000186,2026-06-09T09:52:57.0Z,4.4,126.34,83.0,m,3.5,KEPULAUAN TALAUD, INDONESIA
20260609_0000192,2026-06-09T10:07:29.75Z,5.6281,124.8108,35.0,mb,5.4,MINDANAO, PHILIPPINES
20260609_0000199,2026-06-09T10:14:03.0Z,5.78,125.34,24.0,m,3.8,MINDANAO, PHILIPPINES
20260609_0000198,2026-06-09T10:18:42.0Z,5.06,125.91,77.0,m,3.9,MINDANAO, PHILIPPINES
20260609_0000201,2026-06-09T10:24:14.0Z,5.17,125.45,10.0,m,3.7,MINDANAO, PHILIPPINES
20260609_0000200,2026-06-09T10:30:32.0Z,5.23,126.04,10.0,m,3.7,MINDANAO, PHILIPPINES
20260609_0000203,2026-06-09T10:32:52.0Z,5.66,125.36,21.0,m,4.0,MINDANAO, PHILIPPINES
20260609_0000206,2026-06-09T10:41:34.0Z,6.1,124.64,10.0,m,3.6,MINDANAO, PHILIPPINES
20260609_0000216,2026-06-09T11:07:13.0Z,5.53,125.57,10.0,m,4.4,MINDANAO, PHILIPPINES
20260609_0000220,2026-06-09T11:20:01.0Z,5.35,125.21,26.0,m,4.0,MINDANAO, PHILIPPINES
20260609_0000226,2026-06-09T11:33:33.0Z,6.01,124.94,27.0,m,3.0,MINDANAO, PHILIPPINES
20260609_0000224,2026-06-09T11:43:37.0Z,5.51,125.31,10.0,m,3.8,MINDANAO, PHILIPPINES
20260609_0000228,2026-06-09T11:56:37.0Z,5.17,124.92,10.0,m,3.6,MINDANAO, PHILIPPINES
20260609_0000232,2026-06-09T11:59:09.0Z,5.71,124.8,2.0,m,3.0,MINDANAO, PHILIPPINES
20260609_0000230,2026-06-09T12:03:54.0Z,5.53,125.5,10.0,m,4.4,MINDANAO, PHILIPPINES
20260609_0000236,2026-06-09T12:07:58.0Z,5.02,125.07,27.0,m,3.5,MINDANAO, PHILIPPINES
20260609_0000235,2026-06-09T12:11:22.0Z,3.76,126.12,3.0,m,3.2,KEPULAUAN TALAUD, INDONESIA
20260609_0000234,2026-06-09T12:17:26.0Z,5.54,125.45,10.0,m,3.6,MINDANAO, PHILIPPINES
